Short Name,Playing role,Major teams,Current age,Batting style,Fielding position,Height,Born,Relation,Education,Nickname,Full name,current_team,bowl_arm,bowl_style
S Sohal,Batsman,"Deccan Chargers,",28 years 356 days,Right-hand bat,,,"November 10, 1987, Mohali, Punjab, India ",,,,Sunny Sohal,Deccan Chargers,Right-arm,legbreak
Kamran Akmal,Wicketkeeper batsman,"Pakistan,",34 years 292 days,Right-hand bat,,,"January 13, 1982, Lahore, Punjab ","Brother - Adnan Akmal,",,,Kamran Akmal,Rajasthan Royals,Right-arm,
Pankaj Singh,Bowler,"India,",31 years 178 days,Right-hand bat,,,"May 6, 1985, Sultanpur, Uttar Pradesh ",,,,Pankaj Singh,Royal Challengers Bangalore,Right-arm,medium-fast
Shahid Afridi,Allrounder,"Pakistan,",36 years 244 days,Right-hand bat,,,"March 1, 1980, Khyber Agency ","Brother - Tariq Afridi,",,,Sahibzada Mohammad Shahid Khan Afridi,Deccan Chargers,Right-arm,legbreak
Mohammad Asif,Bowler,"Pakistan,",33 years 316 days,Left-hand bat,,,"December 20, 1982, Sheikhupura, Punjab ",,,,Mohammad Asif,Delhi Daredevils,Right-arm,fast-medium
VY Mahesh,Allrounder,"Chennai Super Kings,",28 years 315 days,Right-hand bat,,,"December 21, 1987, Madras (now Chennai), Tamil Nad",,,,Vijaykumar Yo Mahesh,Delhi Daredevils,Right-arm,medium-fast
DJ Bravo,Allrounder,"West Indies,",33 years 24 days,Right-hand bat,,,"October 7, 1983, Santa Cruz, Trinidad ",Half-brother - DM Bravo,,Johnny,Dwayne John Bravo,Gujarat Lions,Right-arm,medium-fast
MA Khote,,"Mumbai,",36 years 192 days,Right-hand bat,,,"April 22, 1980, Sopra, Thana, Maharashtra ",,,,Musavir Asmat Khote,Mumbai Indians,Right-arm,medium
VS Yeligati,,"Mumbai,",31 years 191 days,Right-hand bat,,,"April 23, 1985, Bombay (now Mumbai), Maharashtra ",,,,Vikrant Shyam Yeligati,Mumbai Indians,Right-arm,offbreak
GC Smith,Opening batsman,"South Africa,",35 years 273 days,Left-hand bat,,,"February 1, 1981, Johannesburg, Transvaal ",,,,Graeme Craig Smith,Pune Warriors,Right-arm,offbreak
D Kalyankrishna,,"Andhra,",32 years 320 days,Right-hand bat,,,"December 16, 1983, Vijayawada ",,,,Doddapaneni Kalyankrishna,Deccan Chargers,Right-arm,medium-fast
RR Sarwan,Batsman,"West Indies,",36 years 130 days,Right-hand bat,,,"June 23, 1980, Wakenaam Island, Essequibo, Guyana ",,,,Ramnaresh Ronnie Sarwan,Kings XI Punjab,Right-arm,legbreak
VRV Singh,,"India,",32 years 44 days,Right-hand bat,,,"September 17, 1984, Chandigarh, Punjab, India ",,,,Vikram Raj Vir Singh,Kings XI Punjab,Right-arm,medium-fast
