Name,Runs,Wickets,Balls,Strike_rate,Avg,zeroes,ones,twos,threes,fours,sixes,batting_style
KW Richardson,36,3,39,92.3076923077,12,14,16,3,0,2,1,Right-hand bat
MN Samuels,131,9,142,92.2535211268,14.5555555556,60,51,9,0,8,5,Right-hand bat
B Sumanth,35,1,38,92.1052631579,35,14,17,3,0,3,0,Right-hand bat
L Ronchi,34,3,37,91.8918918919,11.3333333333,23,4,0,0,6,1,Right-hand bat
JDS Neesham,42,3,46,91.3043478261,14,22,10,7,0,3,1,Left-hand bat
Anirudh Singh,63,4,69,91.3043478261,15.75,30,23,5,0,6,1,Left-hand bat
DE Bollinger,21,1,23,91.3043478261,21,10,9,1,0,1,1,Left-hand bat
DJ Jacobs,92,7,101,91.0891089109,13.1428571429,55,22,3,0,10,4,Right-hand bat
K Goel,217,14,239,90.7949790795,15.5,117,70,11,1,17,9,Left-hand bat
P Dogra,127,12,141,90.0709219858,10.5833333333,51,58,10,1,4,5,Right-hand bat
SB Jakati,27,2,30,90,13.5,11,13,1,0,3,0,Left-hand bat
SK Warne,197,19,219,89.9543378995,10.3684210526,87,81,12,0,14,6,Right-hand bat
R McLaren,159,8,178,89.3258426966,19.875,68,78,8,1,14,1,Left-hand bat
