Batsman,Bowler,Zero,One,Two,Three,Four,Five,Six,Wicket,Total,batting_style,bowling_arm,bowling_style,Bowls played,Strike Rate,Average
V Sehwag,AB Dinda,8,2,0,0,3,0,0,1,14,Right-hand bat,Right-arm,medium-fast,14,100,14
V Sehwag,HV Patel,1,2,0,0,1,0,0,0,6,Right-hand bat,Right-arm,medium,4,150,6
V Sehwag,A Uniyal,1,1,0,0,1,0,2,0,17,Right-hand bat,Left-arm,medium,5,340,17
V Sehwag,S Aravind,2,2,4,0,1,0,0,0,14,Right-hand bat,Left-arm,medium-fast,9,155.5555556,14
V Sehwag,KV Sharma,3,0,0,0,0,0,0,0,0,Right-hand bat,Left-arm,legbreak,3,0,0
V Sehwag,Mohammed Shami,12,2,0,0,4,0,0,1,18,Right-hand bat,Right-arm,fast-medium,19,94.73684211,18
V Sehwag,RR Powar,4,2,0,0,1,0,2,0,18,Right-hand bat,Right-arm,offbreak,9,200,18
V Sehwag,TG Southee,0,0,0,0,0,0,0,1,0,Right-hand bat,Right-arm,medium-fast,1,0,0
V Sehwag,P Awana,4,4,1,0,1,0,0,2,10,Right-hand bat,Right-arm,medium,12,83.33333333,5
V Sehwag,VS Malik,6,0,0,0,3,0,2,0,24,Right-hand bat,Right-arm,medium,11,218.1818182,24
V Sehwag,R Sharma,10,15,0,0,4,0,2,0,43,Right-hand bat,Right-arm,legbreak,31,138.7096774,43
V Sehwag,S Narwal,0,1,0,0,0,0,0,1,1,Right-hand bat,Right-arm,medium,2,50,1
V Sehwag,WD Parnell,3,3,1,0,0,0,0,0,5,Right-hand bat,Left-arm,medium-fast,7,71.42857143,5
V Sehwag,B Akhil,1,2,0,0,2,0,1,0,16,Right-hand bat,Right-arm,medium-fast,6,266.6666667,16
V Sehwag,V Pratap Singh,1,1,1,0,1,0,0,0,7,Right-hand bat,Right-arm,medium,4,175,7
V Sehwag,STR Binny,3,1,0,0,0,0,0,0,1,Right-hand bat,Right-arm,medium,4,25,1
V Sehwag,KA Pollard,3,5,0,0,5,0,2,0,37,Right-hand bat,Right-arm,medium-fast,15,246.6666667,37
